"id";"userid";"date";"points";"creationdate";"creationuser";"updatedate";"updateuser"
1;1;12/03/2013;"2,50";12/03/2013 22:47:09;null;17/03/2013 17:46:11;"INGE"
2;1;13/03/2013;"17,67";13/03/2013 21:20:04;"INGE";17/03/2013 17:46:08;"INGE"
3;1;14/03/2013;"0,00";14/03/2013 19:09:48;"INGE";17/03/2013 17:45:58;"INGE"
4;1;16/03/2013;"0,00";16/03/2013 23:17:07;"INGE";17/03/2013 17:45:50;"INGE"
5;2;16/03/2013;"8,00";16/03/2013 23:17:34;"HANS";17/03/2013 17:46:33;"HANS"
6;2;17/03/2013;"38,00";17/03/2013 09:38:42;"HANS";17/03/2013 17:28:08;"HANS"
7;1;17/03/2013;"32,00";17/03/2013 09:52:12;"INGE";17/03/2013 21:33:52;"INGE"
8;1;18/03/2013;"27,80";17/03/2013 22:01:47;"INGE";18/03/2013 22:08:41;"INGE"
9;2;18/03/2013;"34,45";18/03/2013 08:20:38;"HANS";18/03/2013 22:38:31;"HANS"
10;2;19/03/2013;"39,88";19/03/2013 08:22:02;"HANS";19/03/2013 21:03:58;"HANS"
11;1;19/03/2013;"29,01";19/03/2013 08:23:46;"INGE";20/03/2013 08:32:52;"INGE"
12;1;20/03/2013;"28,82";20/03/2013 08:35:31;"INGE";21/03/2013 08:30:57;"INGE"
13;2;20/03/2013;"36,70";20/03/2013 08:46:05;"HANS";20/03/2013 20:52:07;"HANS"
14;2;21/03/2013;"40,75";21/03/2013 08:29:48;"HANS";21/03/2013 22:40:51;"HANS"
15;1;21/03/2013;"32,00";21/03/2013 08:30:38;"INGE";21/03/2013 22:43:15;"INGE"
16;2;22/03/2013;"62,00";22/03/2013 08:16:34;"HANS";22/03/2013 21:22:04;"HANS"
17;1;22/03/2013;"41,40";22/03/2013 08:26:03;"INGE";22/03/2013 21:19:58;"INGE"
18;2;23/03/2013;"33,77";22/03/2013 21:13:29;"HANS";23/03/2013 22:00:17;"HANS"
19;2;24/03/2013;"39,10";22/03/2013 21:13:51;"HANS";24/03/2013 20:35:27;"HANS"
20;1;23/03/2013;"41,12";23/03/2013 08:13:03;"INGE";23/03/2013 21:45:54;"INGE"
21;1;24/03/2013;"49,25";23/03/2013 21:46:34;"INGE";24/03/2013 20:24:44;"INGE"
22;2;25/03/2013;"37,05";25/03/2013 08:20:03;"HANS";25/03/2013 23:27:36;"HANS"
23;1;25/03/2013;"29,72";25/03/2013 13:29:08;"INGE";26/03/2013 09:39:37;"INGE"
24;2;26/03/2013;"36,86";26/03/2013 08:23:58;"HANS";26/03/2013 23:22:51;"HANS"
25;1;26/03/2013;"34,56";26/03/2013 09:39:53;"INGE";27/03/2013 13:36:58;"INGE"
26;2;27/03/2013;"43,90";27/03/2013 10:26:35;"HANS";27/03/2013 22:49:16;"HANS"
27;1;27/03/2013;"33,10";27/03/2013 13:32:41;"INGE";27/03/2013 22:50:25;"INGE"
28;2;28/03/2013;"34,45";28/03/2013 08:13:22;"HANS";28/03/2013 16:47:21;"HANS"
29;1;28/03/2013;"34,09";28/03/2013 16:36:45;"INGE";29/03/2013 17:43:27;"INGE"
30;2;29/03/2013;"65,90";28/03/2013 19:52:59;"HANS";30/03/2013 10:15:31;"HANS"
31;2;30/03/2013;"36,37";28/03/2013 19:56:13;"HANS";31/03/2013 10:55:35;"HANS"
32;1;29/03/2013;"30,75";29/03/2013 17:39:43;"INGE";29/03/2013 17:42:52;"INGE"
33;1;30/03/2013;"22,00";30/03/2013 13:47:10;"INGE";30/03/2013 13:48:22;"INGE"
34;2;31/03/2013;"54,62";31/03/2013 10:55:58;"HANS";31/03/2013 21:19:34;"HANS"
35;2;01/04/2013;"38,45";01/04/2013 10:23:41;"HANS";02/04/2013 09:04:49;"HANS"
36;1;01/04/2013;"25,85";01/04/2013 10:37:43;"INGE";01/04/2013 19:01:06;"INGE"
37;2;02/04/2013;"34,60";02/04/2013 09:05:06;"HANS";02/04/2013 21:14:19;"HANS"
38;1;02/04/2013;"28,50";02/04/2013 13:10:42;"INGE";03/04/2013 08:33:21;"INGE"
39;1;03/04/2013;"31,25";03/04/2013 08:33:50;"INGE";03/04/2013 23:01:26;"INGE"
40;2;03/04/2013;"35,17";03/04/2013 08:54:09;"HANS";03/04/2013 23:20:05;"HANS"
41;2;04/04/2013;"34,17";04/04/2013 15:13:31;"HANS";04/04/2013 18:45:02;"HANS"
42;1;04/04/2013;"24,00";04/04/2013 15:19:17;"INGE";04/04/2013 15:20:09;"INGE"
